,steam_appid,categories,genres,header_image,short_description,meta,name,developer,publisher,positive,negative,userscore,price,ccu
2577,2100.0,"['Single-player', 'Multi-player', 'Valve Anti-Cheat enabled']",Action,https://cdn.akamai.steamstatic.com/steam/apps/2100/header.jpg?t=1638895661,"Discover a new breed of Action-RPG game powered by an enhanced version of the Source™ Engine by Valve. Set in the Might &amp; Magic® universe, players will experience ferocious combat in a dark and immersive fantasy environment. Swords, Stealth, Sorcery. Choose your way to kill.",72.0,Dark Messiah of Might & Magic,Arkane Studios,Ubisoft,7625,684,0,999.0,53
2578,420790.0,"['Multi-player', 'MMO', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'In-App Purchases']",Action,https://cdn.akamai.steamstatic.com/steam/apps/420790/header.jpg?t=1575262181,"StarBreak is a unique skill-based action platformer MMO where you explore strange sci-fi worlds alongside dozens of other players, kill legions of dangerous aliens and fight epic boss battles.",,StarBreak,Crunchy Games,Crunchy Games,933,258,0,0.0,53
2579,798490.0,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/798490/header.jpg?t=1649428594,"As Humanity’s last hope, lead your army to combat in an intricate dance of spectacular actions and counters, using an original Dynamic Timeline System, and face fearsome bosses in epic battles.",78.0,Othercide,Lightbulb Crew,Focus Entertainment,2758,565,0,1199.0,53
2580,952070.0,"['Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/952070/header.jpg?t=1656994993,Experience a new 1 vs 4 online multiplayer game set in the Resident Evil universe where four survivors face-off against a sinister Mastermind.,,RESIDENT EVIL RESISTANCE,"CAPCOM Co., Ltd., NeoBards Entertainment Ltd.","CAPCOM Co., Ltd.",2677,4138,0,1599.0,53
2581,581130.0,"['Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/581130/header.jpg?t=1616568629,"Military Strategy + RPG + Collection + Story. This is a story of the war between mankind and the tank monsters. The hope of the human relies on the girls, whose bodies have been rebuilt and combined with armor parts. All the girls are under your command. Lead your army, won the war!",,Metal Waltz: Anime tank girls,"Shanghai JingCai Computer Software Development Co., Ltd","Shanghai JingCai Computer Software Development Co., Ltd",1169,303,0,0.0,53
2582,235380.0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards']",Strategy,https://cdn.akamai.steamstatic.com/steam/apps/235380/header.jpg?t=1573220690,Blitzkrieg 3 is an online WW2 RTS made for true admirers of strategic mastery! Challenge your tactical skills in historical campaigns and defeat other players or powerful Neural Network AI in competitive matches.,68.0,Blitzkrieg 3,Nival,Nival,3852,2844,0,999.0,53
2583,203630.0,"['Single-player', 'Multi-player', 'Steam Trading Cards']",Strategy,https://cdn.akamai.steamstatic.com/steam/apps/203630/header.jpg?t=1589882805,"In a time of chaotic upheaval, the player takes the role of a great mage, a warlord vying for ultimate power.",71.0,Warlock - Master of the Arcane,Ino-Co Plus,Paradox Interactive,2083,329,0,2499.0,53
2584,1814010.0,"['Single-player', 'Steam Achievements']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/1814010/header.jpg?t=1649159658,"A unique mix of adventure and idle game. Plan and optimise your loops carefully and let the grind happen automatically. Explore this unique world, meet strange characters and escape the loop. A high-quality idle game that elevate the mechanics through an old school pixel-art adventure.",,Stuck In Time,Housemade Inc.,Housemade Inc.,452,82,0,799.0,53
2585,484830.0,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",Action,https://cdn.akamai.steamstatic.com/steam/apps/484830/header.jpg?t=1655473957,"A multi-dimensional gaming experience beyond anything you’ve ever played before. Try to control the constantly rolling ball which moves in a three-dimensional maze, collect gravitons, open the portal and escape before the platform explodes. And most important beware of everything that is purple!",,Deep Blue 3D Maze in Space,Ice Code Games,Ice Code Games,55,31,0,99.0,53
2586,11450.0,"['Single-player', 'Partial Controller Support']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/11450/header.jpg?t=1656371873,"Prepare to be tempted, mesmerized and thrilled, become the Overlord, how corrupt you become depends on how you handle any given situation. Your actions impact the game world. With incredible power at your disposal and a team of evil minded minions to do your evil bidding, how will you resist the temptation to be incredibly despotic?",81.0,Overlord,Triumph Studios,"Codemasters, Electronic Arts",5080,364,0,499.0,53
2587,877200.0,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Cloud']",Action,https://cdn.akamai.steamstatic.com/steam/apps/877200/header.jpg?t=1655234607,"Zero Caliber is a military FPS developed for VR. Play the Singleplayer campaign or fight alongside your friends in Co-op (PvP mode currently in Closed Beta)! Customize your weapons on-the-fly, use realistic weapon handling and physics to accomplish your mission: saving humanity!",,Zero Caliber VR,XREAL Games,XREAL Games,2998,796,0,1624.0,53
2588,867290.0,"['Single-player', 'Steam Achievements']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/867290/header.jpg?t=1657275231,"Crossroads Inn is a real time management sim set in an original fantasy world of Delcrys. Build and manage your tavern, make visiting adventurers happy, and make your services famous all over the land.",59.0,Crossroads Inn Anniversary Edition,Klabater,Klabater,2005,1520,0,2499.0,52
