,steam_appid,name,tags
26,105600,Terraria,action singleplayer multiplayer pvp onlinepvp coop onlinecoop steamachievements fullcontrollersupport steamtradingcards steamcloud remoteplayonphone remoteplayontablet remoteplayontv dig fight explore build nothing is impossible in this actionpacked adventure game four pack also available relogic relogic openworldsurvivalcraft  sandbox  survival  2d  multiplayer  adventure  pixelgraphics  crafting  building  exploration  coop  openworld  onlinecoop  indie  action  rpg  singleplayer  replayvalue  platformer  atmospheric 
27,4000,Garry's Mod,indie singleplayer multiplayer pvp onlinepvp lanpvp coop onlinecoop lancoop crossplatformmultiplayer steamachievements steamtradingcards captionsavailable steamworkshop steamcloud valveanticheatenabled includesleveleditor remoteplayontablet garrys mod is a physics sandbox there arent any predefined aims or goals we give you the tools and leave you to play facepunchstudios valve sandbox  multiplayer  funny  moddable  building  mod  comedy  coop  firstperson  physics  simulation  onlinecoop  fps  singleplayer  action  animation&modeling  shooter  indie  massivelymultiplayer  adventure 
28,438100,VRChat,adventure multiplayer mmo pvp onlinepvp coop onlinecoop crossplatformmultiplayer partialcontrollersupport join our growing community as you explore play and help craft the future of social vr create worlds and custom avatars welcome to vrchat vrchatinc vrchatinc vr  twitch  memes  anime  avatar  roblox  funny  party 
29,1097150,Fall Guys: Ultimate Knockout,action multiplayer mmo pvp onlinepvp coop onlinecoop steamachievements inapppurchases partialcontrollersupport remoteplayonphone remoteplayontablet fall guys is a free crossplatform massively multiplayer party royale game where you and your fellow contestants compete through escalating rounds of absurd obstacle course chaos until one lucky victor remains mediatonic xaxerosoftware multiplayer  partygame  familyfriendly  battleroyale  massivelymultiplayer  platformer  cute  funny  pvp  3dplatformer  controller  casual  colorful  action  onlinecoop  coop  comedy  physics  indie  difficult 
30,39210,FINAL FANTASY XIV Online,massively multiplayer singleplayer multiplayer mmo pvp onlinepvp coop onlinecoop crossplatformmultiplayer partialcontrollersupport remoteplayontablet take part in an epic and everchanging final fantasy as you adventure and explore with friends from around the world squareenix squareenix mmorpg  rpg  massivelymultiplayer  fantasy  charactercustomization  jrpg  greatsoundtrack  storyrich  openworld  anime  multiplayer  adventure  magic  action  coop  atmospheric  onlinecoop  actionrpg  femaleprotagonist  singleplayer 
31,252950,Rocket League,action singleplayer multiplayer pvp onlinepvp sharedsplitscreenpvp coop onlinecoop sharedsplitscreencoop sharedsplitscreen crossplatformmultiplayer steamachievements fullcontrollersupport steamtradingcards steamworkshop steamcloud stats remoteplayonphone remoteplayontablet remoteplayontv remoteplaytogether rocket league is a highpowered hybrid of arcadestyle soccer and vehicular mayhem with easytounderstand controls and fluid physicsdriven competition rocket league includes casual and competitive online matches a fullyfeatured offline season mode special mutators that let you change the rules entirely hockey and psyonixllc psyonixllc football(soccer)  multiplayer  competitive  sports  racing  football(american)  teambased  onlinecoop  fastpaced  coop  action  funny  greatsoundtrack  localmultiplayer  splitscreen  localcoop  singleplayer  4playerlocal  casual  indie 
32,227300,Euro Truck Simulator 2,niezależne jednoosobowa wieloosobowa kooperacja sieciowakooperacja osiągnięciasteam kartykolekcjonerskiesteam warsztatsteam częściowaobsługakontrolerów steamcloud zawieraedytorpoziomów remoteplaynatelefonie remoteplaynatablecie remoteplaytogether travel across europe as king of the road a trucker who delivers important cargo across impressive distances with dozens of cities to explore your endurance skill and speed will all be pushed to their limits scssoftware scssoftware driving  transportation  simulation  openworld  automobilesim  realistic  moddable  relaxing  exploration  immersivesim  economy  management  atmospheric  multiplayer  controller  familyfriendly  thirdperson  adventure  casual  indie 
33,489830,The Elder Scrolls V: Skyrim Special Edition,rpg singleplayer steamachievements partialcontrollersupport steamcloud remoteplayonphone remoteplayontablet winner of more than 200 game of the year awards skyrim special edition brings the epic fantasy to life in stunning detail the special edition includes the critically acclaimed game and addons with allnew features like remastered art and effects volumetric god rays dynamic depth of field screenspace reflections and more bethesdagamestudios bethesdasoftworks openworld  rpg  adventure  singleplayer  fantasy  charactercustomization  dragons  moddable  storyrich  magic  firstperson  action  atmospheric  greatsoundtrack  thirdperson  stealth  classic  remake  femaleprotagonist  walkingsimulator 
34,1644960,NBA 2K22,simulation singleplayer multiplayer pvp onlinepvp sharedsplitscreenpvp coop onlinecoop sharedsplitscreencoop sharedsplitscreen steamachievements fullcontrollersupport inapppurchases steamcloud remoteplayontablet remoteplaytogether nba 2k22 puts the entire basketball universe in your hands anyone anywhere can hoop in nba 2k22 visualconcepts k sports  basketball  simulation  realistic  multiplayer  esports  3d  singleplayer  teambased  charactercustomization  management  controller  trading  deckbuilding  4playerlocal  coop  gambling  localcoop  localmultiplayer  onlinecoop 
35,1248130,Farming Simulator 22,simulation singleplayer multiplayer coop onlinecoop crossplatformmultiplayer steamachievements fullcontrollersupport steamtradingcards steamcloud remoteplayontv create your farm and let the good times grow harvest crops tend to animals manage productions and take on seasonal challenges giantssoftware giantssoftware simulation  farmingsim  coop  agriculture  moddable  management  multiplayer  sandbox  3d  firstperson  immersivesim  onlinecoop  economy  charactercustomization  familyfriendly  openworld  thirdperson  nature  horses  america 
36,444200,World of Tanks Blitz,action multiplayer mmo pvp onlinepvp coop onlinecoop crossplatformmultiplayer steamtradingcards inapppurchases all month long participate in events and follow the heroes of the once upon a time in july comics wargaminggrouplimited wargaminggrouplimited tanks  planes  war  fire  sky  clouds  fields  weapon  rackets 
37,251570,7 Days to Die,action singleplayer multiplayer pvp onlinepvp lanpvp coop onlinecoop lancoop crossplatformmultiplayer steamachievements fullcontrollersupport steamtradingcards includesleveleditor remoteplayontablet remoteplayontv 7 days to die is an openworld game that is a unique combination of firstperson shooter survival horror tower defense and roleplaying games play the definitive zombie survival sandbox rpg that came first navezgane awaits thefunpimps thefunpimpsentertainmentllc survival  zombies  openworld  multiplayer  openworldsurvivalcraft  voxel  postapocalyptic  basebuilding  onlinecoop  exploration  building  sandbox  simulation  fps  strategy  charactercustomization  action  towerdefense  proceduralgeneration  earlyaccess 
38,322330,Don't Starve Together,adventure singleplayer multiplayer pvp onlinepvp lanpvp coop onlinecoop lancoop fullcontrollersupport steamtradingcards steamworkshop inapppurchases remoteplayonphone remoteplayontablet remoteplayontv fight farm build and explore together in the standalone multiplayer expansion to the uncompromising wilderness survival game dont starve kleientertainment kleientertainment survival  openworldsurvivalcraft  multiplayer  coop  openworld  adventure  crafting  onlinecoop  sandbox  difficult  indie  2d  atmospheric  funny  survivalhorror  strategy  horror  singleplayer  action  roguelike 
39,108600,Project Zomboid,indie singleplayer multiplayer pvp onlinepvp coop onlinecoop sharedsplitscreencoop sharedsplitscreen crossplatformmultiplayer steamtradingcards partialcontrollersupport remoteplaytogether project zomboid is the ultimate in zombie survival alone or in mp you loot build craft fight farm and fish in a struggle to survive a hardcore rpg skillset a vast map massively customisable sandbox and a cute tutorial raccoon await the unwary so how will you die all it takes is a bite theindiestone theindiestone survival  zombies  openworld  openworldsurvivalcraft  multiplayer  sandbox  postapocalyptic  coop  crafting  indie  simulation  building  rpg  survivalhorror  realistic  isometric  singleplayer  2d  earlyaccess  adventure 
40,294100,RimWorld,indie singleplayer steamworkshop steamcloud remoteplayontablet a scifi colony sim driven by an intelligent ai storyteller generates stories by simulating psychology ecology gunplay melee combat climate biomes diplomacy interpersonal relationships art medicine trade and more ludeonstudios ludeonstudios colonysim  basebuilding  survival  strategy  sandbox  management  building  simulation  singleplayer  citybuilder  moddable  openworld  proceduralgeneration  2d  scifi  indie  space  tacticalrpg  western  cartoony 
41,1174180,Red Dead Redemption 2,action singleplayer multiplayer pvp onlinepvp coop onlinecoop steamachievements inapppurchases partialcontrollersupport remoteplayonphone remoteplayontablet winner of over 175 game of the year awards and recipient of over 250 perfect scores rdr2 is the epic tale of outlaw arthur morgan and the infamous van der linde gang on the run across america at the dawn of the modern age also includes access to the shared living world of red dead online rockstargames rockstargames openworld  storyrich  western  adventure  action  multiplayer  realistic  singleplayer  shooter  atmospheric  horses  beautiful  thirdpersonshooter  mature  greatsoundtrack  thirdperson  sandbox  gore  firstperson  fps 
42,1677740,Stumble Guys,action multiplayer pvp onlinepvp crossplatformmultiplayer inapppurchases partialcontrollersupport race through obstacle courses against up to 32 players online run jump and dash to the finish line until the best player takes the crown kitkagames kitkagames freetoplay  multiplayer  action  casual  3d  battleroyale  3dplatformer  colorful  familyfriendly  cute  cartoony  nudity  charactercustomization  racing  massivelymultiplayer  pvp  funny  physics  comedy  indie 
43,892970,Valheim,action singleplayer multiplayer coop onlinecoop fullcontrollersupport steamcloud remoteplayontablet a brutal exploration and survival game for 110 players set in a procedurallygenerated purgatory inspired by viking culture battle build and conquer your way to a saga worthy of odins patronage irongateab coffeestainpublishing openworldsurvivalcraft  survival  onlinecoop  openworld  multiplayer  building  crafting  exploration  basebuilding  coop  sandbox  adventure  mythology  rpg  earlyaccess  action  pve  indie  singleplayer  thirdperson 
44,1418630,Dread Hunger,action multiplayer pvp onlinepvp coop onlinecoop steamachievements steamcloud valveanticheatenabled a game of survival and betrayal eight explorers path their ship through the unforgiving arctic among the crew two traitors call on dark powers to undermine them dreadhungerteam digitalconfectioners multiplayer  survival  onlinecoop  socialdeduction  coop  horror  psychological  pvp  teambased  strategy  gore  indie  funny  action  difficult  firstperson  dark  adventure  blood  atmospheric 
45,236850,Europa Universalis IV,simulation singleplayer multiplayer crossplatformmultiplayer steamachievements steamtradingcards steamworkshop steamcloud europa universalis iv gives you control of a nation through four dramatic centuries rule your land and dominate the world with unparalleled freedom depth and historical accuracy write a new history of the world and build an empire for the ages paradoxdevelopmentstudioparadoxtinto paradoxinteractive grandstrategy  historical  simulation  alternatehistory  economy  military  strategy  sandbox  political  diplomacy  realtimewithpause  moddable  replayvalue  nonlinear  singleplayer  management  multiplayer  resourcemanagement  education  greatsoundtrack 
